F1_S1,F2_S1,F1_S2,F2_S2,DecayRatioCycle,LPC_Coefficient1,LPC_Coefficient2,LPC_Coefficient3,LPC_Coefficient4,LPC_Coefficient5,LPC_Coefficient6,LPC_Coefficient7,LPC_Coefficient8,LPC_Coefficient9,LPC_Coefficient10,LPC_Coefficient11,LPC_Coefficient12,LPC_Coefficient13,LPC_Coefficient14,LPC_Coefficient15,Class
0.015625,0.0078125,0.011719,0.023438,0.014935,-0.63286,-0.065719,0.16825,0.05957,-0.0033985,0.033111,0.038483,0.0834,0.023652,0.0029918,0.020786,-0.036931,-0.023451,0.018642,0.057858,abnormal
0.0078125,0.015625,0.015625,0.039062,0.006144,-0.87203,0.30916,-0.13795,0.19346,-0.073316,0.11156,-0.061523,0.064423,0.053679,-0.041001,-0.025518,0.046644,-0.028452,-0.032282,0.063811,normal
0.0078125,0.019531,0.011719,0.03125,0.0059683,-0.11255,0.034583,-0.082604,0.19638,0.24365,0.072223,0.082078,0.02671,0.11821,0.031684,0.036941,-0.033805,-0.012172,0.028903,0.083935,abnormal
0.0078125,0.013672,0.015625,0.03125,0.020456,-0.50437,-0.14735,0.015689,0.08169,0.015823,0.055088,0.00055549,0.011379,0.020323,0.029905,0.025436,0.0018154,0.019053,0.0014272,0.006177,abnormal
0.011719,0.025391,0.0078125,0.035156,0.0072591,0.20744,0.10921,-0.051083,0.39539,0.038126,0.2427,0.024706,0.179,0.045785,0.22213,-0.010581,0.069889,0.054797,0.005394,0.014971,abnormal
0.029297,0.019531,0.039062,0.011719,0.078593,-0.26681,0.50598,-0.10756,0.15233,0.065327,0.0090998,0.27123,0.070855,0.096906,0.01645,0.04868,-0.014193,0.055424,-0.022607,0.036056,abnormal
0.011719,0.035156,0.09375,0.046875,0.057419,0.14535,0.26454,0.0060909,0.23052,0.0097186,0.21081,0.10636,0.12118,-0.014744,0.10826,0.079016,0.17039,0.044654,0.06849,-0.047446,abnormal
0.0058594,0.03125,0.011719,0.015625,0.030139,-0.30093,-0.10032,-0.036139,0.046155,0.076126,0.05966,0.064102,0.04362,0.044263,0.021523,0.006675,0.0035746,0.00023176,0.0094428,0.046537,normal
0.0078125,0.017578,0.013672,0.046875,0.021725,0.17493,-0.059735,0.13654,0.21746,-0.074017,0.087976,0.060069,0.15946,0.096673,0.073904,0.093805,0.13401,0.1195,-0.012484,0.067151,abnormal
0.023438,0.015625,0.0078125,0.023438,0.0027311,-0.71854,0.45712,0.039582,0.11478,-0.1834,0.20009,0.019006,-0.21159,0.18849,0.013706,0.015126,-0.024595,0.16535,-0.14049,0.07666,normal
0.023438,0.015625,0.015625,0.039062,0.069194,0.053224,-0.10482,0.025979,0.13466,0.010532,0.061314,0.27362,-0.033877,0.071142,0.19303,-0.072815,-0.035344,0.039915,0.12334,0.01939,normal
0.0078125,0.0078125,0.015625,0.0078125,0.027782,-0.32164,0.33995,-0.077311,0.33068,-0.038821,0.23238,-0.08296,0.13402,-0.10764,0.14464,-0.028315,0.092298,-0.020933,0.058519,0.0087279,normal
0.015625,0.0078125,0.011719,0.0078125,0.018875,-0.24297,0.51195,0.033314,0.082147,-0.069393,0.18937,0.088441,0.20243,0.20338,0.0079104,0.055641,0.093365,-0.0084108,0.058732,0.10047,abnormal
0.03125,0.0078125,0.035156,0.0078125,0.030322,-0.20011,-0.30494,0.29913,0.24206,-0.0058863,0.01728,0.047827,0.15565,0.022514,0.11056,0.040934,-0.0012572,0.027636,0.038218,0.026085,abnormal
0.015625,0.03125,0.0078125,0.019531,0.013314,-0.4535,-0.27899,0.078228,0.25316,0.09396,-0.11507,-0.037518,0.088474,0.096417,0.053543,-0.12205,0.059611,0.044562,-0.043314,0.092305,normal
0.035156,0.0039062,0.019531,0.0078125,0.01761,0.25215,-0.16162,-0.18585,0.17548,0.077963,0.14651,0.12879,0.01775,0.059951,0.089793,0.050958,-0.019583,0.083927,0.1105,-0.023653,abnormal
0.0078125,0.0078125,0.015625,0.015625,0.028191,-0.34461,-0.11474,0.016913,0.12328,0.021584,0.090455,0.032062,0.061173,-0.00036479,0.015329,0.024395,0.0010352,0.011265,0.0056931,-0.034707,abnormal
0.0078125,0.035156,0.0078125,0.0078125,0.012854,-0.11399,0.018701,0.20683,0.060971,0.056663,-0.013141,0.014682,0.022236,0.072978,0.060496,0.11306,-0.0097408,-0.0069669,0.053388,-0.010657,normal
0.015625,0.0078125,0.011719,0.027344,0.053935,0.13074,-0.39323,0.099415,0.49045,0.13083,0.025571,0.017269,0.16234,0.033183,0.11648,0.13183,0.0060396,-0.026474,0.036941,0.044468,abnormal
0.0078125,0,0.0039062,0.015625,0.0041581,-0.044468,-0.10091,-0.18979,0.054489,0.065406,0.22765,0.06649,0.16249,0.019921,0.03924,0.015497,-0.029718,0.052759,0.027752,0.030251,abnormal
0.015625,0.015625,0.015625,0.0078125,0.039834,-0.18735,-0.33609,-0.053912,0.28803,0.036557,0.10249,0.085274,0.067925,-0.012084,0.077363,0.00070209,0.16669,-0.010514,0.010627,0.034007,normal
0.0039062,0.0078125,0.015625,0.015625,0.042877,0.10815,0.48485,-0.093683,0.58828,-0.073291,0.2082,0.020888,0.29705,-0.013832,0.15659,0.00298,0.12912,0.081713,0.16601,0.027221,abnormal
0.0078125,0.0039062,0.03125,0.015625,0.031736,-0.10329,0.15793,-0.33468,0.4506,-0.081815,0.2847,-0.04029,0.26542,-0.061617,0.13245,-0.036221,0.10195,0.02513,0.075879,0.077792,abnormal
0.0078125,0.0078125,0.0078125,0.039062,0.018018,0.4188,-0.073373,-0.012852,0.15858,0.23697,0.1409,0.057832,0.10183,0.13904,0.05956,0.0011134,0.14985,0.14814,-0.020765,0.021846,abnormal
0.011719,0.015625,0.015625,0.03125,0.0039266,0.15205,-0.38277,-0.33449,0.30482,0.32918,0.26152,0.018474,0.11964,-0.058702,-0.010389,0.021434,0.20175,0.12224,0.0086223,-0.092426,abnormal
0.015625,0.023438,0.015625,0.03125,0.013963,-0.6057,-0.27126,0.15153,0.12528,0.046656,0.10461,-0.033507,0.0044317,-0.0044353,-0.0048714,-0.033681,0.051654,-0.030214,0.011381,0.040122,abnormal
0.019531,0.0078125,0.046875,0.0058594,0.12583,0.16546,-0.61173,0.17428,0.40312,-0.002732,-0.011122,0.12817,0.02908,0.056189,0.033799,-0.058894,0.087527,0.13349,-0.03042,0.023176,abnormal
0.03125,0.015625,0.023438,0.015625,0.02497,-0.62238,0.18553,0.12988,0.064579,0.22766,-0.0079905,0.040589,0.081177,0.15357,0.0014229,0.019356,0.0024993,0.055969,-0.13344,0.17948,abnormal
0.0078125,0.0078125,0.0078125,0.03125,0.0062744,-0.31809,-0.24102,0.133,0.11349,0.0028426,0.15888,0.073787,-0.20181,0.031669,0.35947,-0.034277,-0.12094,0.0066091,0.091698,0.08754,abnormal
0.23438,0.20312,0.0078125,0.14453,0.72581,1.4211,1.5662,1.4189,1.211,1.1447,1.0863,0.94789,0.81176,0.67764,0.53389,0.46368,0.31383,0.20048,0.070643,-0.045699,abnormal
0.0078125,0.0039062,0.0078125,0.023438,0.0079006,-0.24335,-0.14532,-0.028922,0.024799,0.015281,0.078117,0.066754,0.092021,0.043526,0.048186,0.047776,-0.011268,-0.04002,-0.042994,0.08363,abnormal
0.011719,0.011719,0.011719,0.0078125,0.006765,-0.27908,-0.13342,0.045566,0.13689,0.10942,0.087957,0.086146,0.062366,-0.0032557,0.07709,-0.023028,0.049028,0.01433,-0.00044845,0.0087852,normal
0.015625,0.0078125,0.011719,0.0039062,0.0059198,-0.26209,-0.037237,0.037741,0.090286,0.056237,0.087375,0.064816,0.068162,0.033712,0.031299,-0.0070353,0.0089746,0.015022,-0.027327,0.0034491,normal
0.015625,0.015625,0.015625,0.015625,0.65885,2.1184,3.3966,4.4764,5.2061,5.586,5.5485,5.2802,4.7355,4.0454,3.222,2.37,1.5389,0.88083,0.41684,0.13573,abnormal
0.011719,0.0078125,0.023438,0.015625,0.039259,-0.16775,-0.27543,-0.013034,0.19682,0.080404,-0.0068967,0.0057482,0.066725,0.017566,0.085199,0.12627,-0.088621,-0.038969,0.081353,0.0027073,abnormal
0.015625,0.015625,0.0097656,0.017578,0.012087,-0.30503,-0.18906,0.026421,0.097544,0.079755,0.06566,0.050072,0.018982,0.05819,0.020572,0.016699,-0.051648,-0.022944,0.0016989,0.05482,normal
0.0078125,0.0039062,0.0078125,0.015625,0.0084972,-0.0016621,-0.31483,0.19138,0.34358,0.0072947,0.049191,0.042312,0.066748,0.0045126,0.11996,-0.040103,0.037515,0.050803,-0.039922,0.0098522,abnormal
0.0097656,0.019531,0.011719,0.03125,0.02037,-0.27938,-0.14359,-0.047553,0.014058,0.060378,0.08927,0.11082,0.10807,0.047886,-0.038158,-0.08411,-0.045846,0.039386,0.10632,0.090904,normal
0.011719,0.03125,0.011719,0.019531,0.028337,0.61785,0.47369,0.26029,0.14379,0.1902,0.039732,0.13317,0.16872,0.13781,0.11678,0.11997,0.22716,0.17685,0.10956,0.089456,abnormal
0.011719,0.0078125,0.015625,0.0078125,0.0097292,-0.37616,-0.083844,0.026705,0.055502,0.085939,0.063867,0.0089467,0.02213,0.068338,0.040427,-0.043559,-0.017386,0.0086665,0.063958,0.124,abnormal
0.0078125,0.025391,0.0078125,0.015625,0.033481,-0.13324,-0.15439,-0.031801,0.15479,0.1416,0.10088,0.036975,0.039331,0.049069,0.039895,0.0026465,0.015508,0.084864,0.011699,0.10396,abnormal
0.011719,0.03125,0.023438,0.0078125,0.013823,-0.7925,0.095092,0.26739,-0.069749,0.21461,-0.13821,0.10722,0.0083528,-0.076659,0.20818,-0.057947,0.031099,0.029575,-0.0031094,0.021918,abnormal
0.03125,0.015625,0.03125,0.042969,0.053221,-0.30833,-0.15618,0.060467,0.13731,0.15081,0.045428,0.046328,0.15253,-0.018751,0.047757,-0.018069,0.060212,0.01462,0.038422,0.0021723,abnormal
0.0078125,0.0078125,0.0078125,0.03125,0.0033263,-0.14458,-0.011,0.065293,0.089379,0.015367,0.11173,0.102,0.13492,0.065864,0.059479,0.0089899,0.026866,-0.03153,0.02054,0.031303,abnormal
0.011719,0.0078125,0.011719,0.03125,0.017621,-0.47649,-0.22563,0.044489,0.19572,0.013847,0.035739,0.0088719,0.056313,0.045182,0.030524,0.027953,0.036918,-0.026232,0.010422,0.023555,abnormal
0.0078125,0.0078125,0.015625,0,0.019411,0.10809,-0.35403,0.12291,0.21167,0.062035,-0.053291,-0.013425,0.14541,0.093728,0.065387,0.069919,0.015993,0.094826,-0.02859,-0.05811,abnormal
0.023438,0.0078125,0.011719,0.03125,0.020383,0.066161,-0.66508,-0.34851,0.1483,0.26751,0.15571,-0.086018,0.035435,-0.0025449,-0.026229,-0.07573,0.10176,0.16573,-0.029213,-0.020428,abnormal
0.0078125,0,0.015625,0.015625,0.022075,-0.20075,-0.35911,-0.057188,0.34351,0.039846,0.068936,0.020225,0.07845,0.069753,0.068651,0.021741,-0.077045,0.007296,0.11203,0.022894,abnormal
0.023438,0.042969,0.039062,0.023438,0.04979,0.17605,-0.61751,-0.11011,0.24981,-0.0062968,0.09438,0.16793,0.078325,-0.0041886,0.032857,0.012384,0.064493,0.066213,-0.0011499,-0.020633,abnormal
0.015625,0.046875,0.0078125,0.019531,0.043573,-0.010053,0.24148,0.054602,0.16486,0.28245,0.1008,0.060893,0.34044,-0.022386,0.099282,-0.080398,0.060939,0.059957,0.051928,-0.010544,abnormal
0.011719,0.027344,0.0078125,0.0078125,0.017345,0.078027,0.039056,0.16683,0.10856,-0.16452,0.20184,-0.10175,0.19913,0.12463,0.14177,0.029818,0.073095,-0.025469,0.12531,-0.015047,normal
0.0078125,0.03125,0.011719,0.021484,0.037948,-0.12844,0.13454,-0.4157,0.028134,-0.082707,0.3575,-0.063882,0.22677,-0.064715,0.035312,0.04929,-0.0032811,-0.014616,0.058697,-0.025173,normal
0.0078125,0.0039062,0.019531,0.015625,0.012968,-0.98715,0.32056,-0.089276,0.2392,-0.10989,0.076367,0.049751,-0.048827,0.12769,-0.033341,0.12645,-0.10232,0.040558,-0.11484,0.15794,normal
0.015625,0.0078125,0.0078125,0.0039062,0.0059207,0.15334,0.57293,-0.018593,0.40741,-0.12173,0.26713,-0.22151,0.5093,0.12197,0.29315,-0.022526,0.27211,-0.17146,0.16225,-0.10815,normal
0.0097656,0.015625,0.015625,0.03125,0.0083743,-0.41834,-0.10491,0.03583,0.10934,0.050602,0.027468,-0.0098778,0.04586,0.078027,0.079033,0.076576,-0.022163,-0.027275,-0.054787,-0.0017371,abnormal
0.0058594,0.013672,0.023438,0.015625,0.029765,0.27161,-0.23635,-0.022709,0.24546,-0.0035407,0.20852,0.084559,0.19803,-0.026976,0.19325,-0.025721,0.081191,-0.0034206,0.015577,-0.098754,abnormal
0.011719,0.015625,0.015625,0.011719,0.54433,2.2195,3.4985,4.6042,5.3678,5.8095,5.8584,5.5673,4.9006,3.996,3.0269,2.0989,1.3207,0.70612,0.30544,0.082978,abnormal
0.011719,0.015625,0.015625,0.011719,0.053399,2.0593,3.2477,4.3888,5.2336,5.7682,5.9859,5.7655,5.2158,4.4078,3.4582,2.5327,1.7053,0.97788,0.5107,0.19844,abnormal
0.011719,0.019531,0.0039062,0.0078125,0.0013575,-0.39243,-0.066854,-0.0039227,0.32338,-0.092353,0.16146,-0.015968,0.067869,0.042032,0.095512,-0.0090857,0.012288,-0.00032564,0.066926,-0.069653,abnormal
0.015625,0.0078125,0.015625,0.027344,0.0057664,0.56153,-0.06363,-0.2454,0.10906,0.24833,0.23074,0.075054,0.096858,0.11357,0.15813,0.097372,0.0636,0.040933,0.031801,-0.0057706,abnormal
0.015625,0.025391,0.023438,0.011719,0.024182,0.52222,-0.1359,-0.25801,0.16582,0.072171,0.049611,0.0093509,0.15205,0.061171,0.098355,0.074893,0.13223,-0.02428,0.034495,-0.01195,abnormal
0.015625,0.015625,0.011719,0.035156,0.015723,-0.13739,0.29503,-0.31119,0.4462,-0.028952,0.10299,0.046535,0.010801,0.1565,0.042329,0.052368,-0.00015476,0.08456,0.053843,0.052029,abnormal
0.015625,0.023438,0.015625,0.0078125,0.0054881,-0.6041,0.070332,-0.10156,0.16909,-0.010277,0.069807,0.056397,-0.0099176,0.0094593,-0.0027651,0.11495,0.043883,-0.071204,0.073108,0.00038479,normal
0.015625,0.0078125,0.023438,0.015625,0.012968,-0.12717,-0.25315,0.051261,0.15515,0.085225,0.040496,0.031003,0.093313,0.012912,0.061301,-0.010877,0.045456,0.086564,0.027893,0.0061877,normal
0.0039062,0.015625,0.0078125,0.015625,0.047341,0.035336,0.39667,0.44351,0.05507,0.21602,0.29223,-0.0047578,0.14366,0.18892,0.096567,0.065199,0.12651,0.060485,0.055713,0.016318,abnormal
0.011719,0.0078125,0.011719,0.015625,0.024507,-0.062636,-0.077344,-0.017949,0.10608,0.037256,0.14028,0.063353,0.077227,0.053523,0.074049,0.034252,0.041578,0.045305,0.044047,-0.0010604,abnormal
0.0039062,0.0078125,0.0078125,0.03125,0.023985,-0.22036,-0.0034486,0.18108,-0.063654,0.14349,0.29015,0.071321,-0.0029867,0.079604,-0.047256,0.095126,0.0021664,-0.015092,-0.0038774,0.0014208,abnormal
0.011719,0.0078125,0.011719,0.054688,0.02971,-0.42174,-0.18761,-0.0017711,0.088386,0.094826,0.072136,0.050607,0.052757,0.054405,0.031863,0.02505,-0.021734,0.00996,0.03391,0.022856,normal
0.0078125,0.021484,0.015625,0.0078125,0.013057,0.1356,0.087372,0.067346,0.1069,0.0095051,0.17952,0.093817,0.16011,0.095096,0.018958,0.037943,0.021896,0.047328,0.036124,0.0599,normal
0.027344,0.015625,0.011719,0.023438,0.0074848,-0.25261,-0.40843,0.066849,0.069536,0.10138,0.10996,0.0048389,0.047008,0.051294,-0.025323,0.078362,-0.0032144,0.036498,0.040128,-0.010039,abnormal
0.0078125,0.015625,0.0097656,0.03125,0.026548,-0.42949,-0.0088748,0.098106,0.27276,-0.0030439,0.10785,0.044519,0.081321,0.047381,0.074021,-0.037774,0.049524,-0.0037512,0.062013,-0.0067464,normal
0.0078125,0.015625,0.0097656,0.03125,0.72175,1.501,2.1647,2.7141,3.2108,3.5007,3.617,3.5862,3.3461,2.953,2.469,1.8897,1.3276,0.8322,0.46067,0.14952,abnormal
0.015625,0.0078125,0.023438,0.0078125,0.0063631,-0.12111,-0.29239,0.023376,0.21423,0.08219,0.1196,0.054036,0.012318,0.087048,-0.034892,0.065454,0.051134,0.017332,0.062669,0.15463,abnormal
0.0078125,0.0039062,0.015625,0.015625,0.027638,-0.69792,-0.32791,0.27113,0.2869,-0.04914,0.014715,-0.081956,0.067946,0.1155,-0.05376,-0.0072652,0.13987,-0.14665,0.041554,0.011886,normal
0.011719,0.0078125,0.015625,0.0078125,0.03076,-0.18825,0.10764,-0.082934,0.065878,0.01766,0.2283,0.017703,0.13089,0.061071,-0.0202,0.047162,0.034423,-0.03791,-0.013686,0.022243,abnormal
0.0078125,0.027344,0.013672,0.019531,0.019251,-0.4077,-0.012725,0.22028,0.13396,0.062544,0.091191,0.015798,0.15203,0.078812,0.059599,0.042504,0.0052832,0.076508,0.072179,-0.032517,normal
0.015625,0.0078125,0.015625,0.039062,0.0029194,-0.27681,0.19235,0.051644,0.092376,0.023739,0.094769,0.10939,0.11908,0.085534,0.052441,0.049431,0.01943,-0.030828,0.067443,0.029553,normal
0.0078125,0.019531,0.03125,0.015625,0.024909,-0.26276,-0.02126,0.013479,-0.012997,-0.025264,0.066258,0.11466,0.07083,0.051867,0.0005917,0.043479,0.022633,0.0025633,0.03534,0.01288,abnormal
0.0078125,0.013672,0.0078125,0.015625,0.014572,0.28245,-0.19055,-0.29343,0.090239,0.04849,0.12153,0.13664,0.080565,0.041209,0.066567,-0.016329,-0.020393,-0.0037933,0.034414,0.03268,abnormal
0.011719,0.015625,0.0078125,0.015625,0.011173,-0.30033,-0.148,0.021466,0.096312,0.090135,0.078191,0.04628,0.049484,0.048116,0.041454,0.0077244,0.019974,0.010918,0.028768,0.029564,abnormal
0.011719,0.0078125,0.015625,0.015625,0.021318,0.1138,0.16563,0.10676,0.21653,0.026451,0.21659,0.041711,0.12505,-0.044582,0.15297,0.031255,-0.030634,-0.025193,-0.04121,-0.022861,abnormal
0.013672,0.0078125,0.015625,0.015625,0.045393,-0.25041,-0.14723,-0.044502,0.050405,0.041246,0.08892,0.038275,0.065621,0.051107,0.035117,0.047864,-0.0046994,0.021272,-0.012771,0.032398,abnormal
0.017578,0.0078125,0.015625,0.015625,0.034417,0.40202,-0.017441,0.15339,0.045153,0.21733,0.3008,0.014726,0.042014,0.079328,0.02167,-0.015642,0.017506,0.072789,0.054314,0.016274,abnormal
0.0039062,0.0078125,0.011719,0.0058594,0.015143,-0.42533,-0.22351,0.040234,0.16278,0.00042045,0.037165,0.013699,0.039221,0.021948,0.07347,0.011692,0.035362,-0.027653,0.020619,0.029547,abnormal
0.015625,0.011719,0.011719,0.017578,0.019231,-0.15086,-0.14034,0.030895,0.059063,0.071467,0.069093,0.05742,0.063639,0.07928,0.024193,0.025229,-0.0072362,-0.039932,0.037991,0.040928,normal
0.0078125,0.0078125,0.03125,0.0078125,0.05349,-0.17714,-0.17135,-0.02594,0.053706,0.045335,0.058953,0.054335,0.07095,0.054897,0.10675,-0.059956,0.022059,-0.010716,0.027361,0.047235,abnormal
0.015625,0.029297,0.015625,0,0.029849,-0.32804,-0.18862,-0.0061651,0.044346,0.080221,0.082054,0.042913,0.047705,0.0088999,0.065421,-0.0014508,0.025654,-0.039203,-0.013897,-0.0049937,abnormal
0.015625,0.029297,0.015625,0,0.68008,1.8077,2.6529,3.2919,3.6146,3.7187,3.5689,3.2744,2.8687,2.3822,1.8837,1.3662,0.92722,0.54067,0.25475,0.096175,normal
0.015625,0.0039062,0.015625,0.0078125,0.0085134,-0.096201,-0.37213,0.090158,0.085216,0.1065,0.15503,0.040621,0.097742,-0.024834,0.22133,-0.16951,0.10022,0.05764,-0.026338,0.13113,normal
0.0078125,0.0078125,0.011719,0.03125,0.0089967,-0.12409,0.31389,-0.27673,0.2934,0.082127,0.04248,0.071964,0.05601,0.13643,0.068957,0.0426,0.088241,0.066387,-0.015521,-0.010982,abnormal
0.011719,0.023438,0.011719,0.03125,0.01694,-0.61073,0.090455,0.10219,0.11401,0.011948,0.086834,-0.032868,0.059313,0.097519,-0.046135,0.043909,0.034149,-0.070386,0.089414,0.011157,normal
0.03125,0.023438,0.011719,0.023438,0.015993,-0.42473,-0.078598,0.041676,0.14398,0.054243,0.033137,-0.015527,0.01365,0.044723,0.051381,0.0077403,-0.017723,-0.020317,0.025197,0.037762,normal
0.011719,0.019531,0.015625,0.0078125,0.030471,-0.045043,-0.11949,-0.071659,0.09507,0.096935,0.0336,0.025255,0.037866,0.063201,0.10278,-0.0097651,0.030367,0.0034948,0.039111,0.037842,abnormal
0.011719,0.019531,0.015625,0.0078125,0.61891,1.9854,2.9985,3.7829,4.2868,4.4431,4.2766,3.8769,3.3028,2.6806,2.0767,1.5301,0.99209,0.55239,0.22147,0.065845,abnormal
0.011719,0.03125,0.011719,0.039062,0.011157,-0.20862,-0.019239,-0.014377,0.0025713,0.071532,0.12465,0.092303,0.076255,-0.013225,0.13547,-0.080642,0.051597,-0.040739,0.055038,0.088997,abnormal
0.0078125,0.0039062,0.0078125,0.023438,0.0042609,0.029137,-0.2474,-0.1204,0.099111,0.024231,0.085492,0.059896,0.038529,-0.012911,-0.0077694,0.0056065,-0.037529,0.080872,0.078342,0.047959,abnormal
0.0078125,0.0039062,0.011719,0.03125,0.0047113,-0.50461,0.32748,-0.27302,0.29807,-0.012581,-0.012784,0.095505,0.053126,0.060633,-0.06148,-0.015316,0.016878,0.038397,-0.022805,-0.038898,abnormal
0.0078125,0.0078125,0.0078125,0.0078125,0.0090149,-0.066966,-0.088539,-0.0039183,0.25791,0.027797,0.16943,0.049047,-0.031357,0.07273,0.13671,0.069542,-0.032457,-0.048673,-0.020709,0.13895,abnormal
0.0097656,0.015625,0.0078125,0.019531,0.018608,-0.61302,-0.15857,0.031087,-0.0058562,0.064345,0.15081,0.0085786,0.081033,-0.04118,0.076499,-0.055371,-0.0052616,-0.049191,0.084453,0.0072798,abnormal
0.0039062,0.0078125,0.0078125,0.0019531,0.004905,-0.18565,-0.13805,0.2707,-0.052947,-0.04052,0.22787,0.1165,0.041962,0.061771,-0.030406,0.12946,0.015879,-0.064913,0.074788,0.012292,abnormal
0.0078125,0.0078125,0.019531,0.0078125,0.0045384,-0.89241,0.045547,-0.068095,0.21219,0.122,-0.016762,0.056764,-0.049955,0.081936,-0.032668,-0.0015947,-0.020144,0.039512,0.0093618,0.025295,normal
0.015625,0.0078125,0.015625,0.0078125,0.0084089,-0.10507,-0.383,-0.021778,0.14457,0.16692,0.047846,0.028035,-0.042454,0.087176,0.0084634,0.027158,-0.023395,0.14707,0.026182,-0.015819,abnormal
0.015625,0.0078125,0.015625,0.0078125,0.0032212,0.060671,-0.42346,-0.17872,0.23901,-0.026373,0.18641,0.049328,0.10256,-0.028508,-0.017789,0.019119,-0.081044,-0.071596,0.069583,0.072113,abnormal
0.0078125,0.015625,0.0078125,0.0078125,0.016582,0.14876,-0.57627,-0.14026,0.099271,0.098315,0.070824,0.045769,-0.066636,0.17172,0.048321,-0.020437,-0.029731,-0.032395,-0.01338,-0.010186,abnormal
0.0078125,0.015625,0.0078125,0.015625,0.0089485,-0.16304,-0.13987,0.10332,0.14662,0.068047,0.1475,0.050893,0.11504,0.045489,0.062793,0.022858,0.051478,-0.013694,0.027222,0.041316,abnormal
